,text,grade,date
27,"A fuir !!!! Absolument !!
Franchement des voleurs
J'ai résilié mon contrat chez eux depuis le mois d'avril et on est au mois de novembre, ils ont encore prélevé sur mon compte. Ils m'ont prélevé en juin puis m'en rembourser, puis en août soit disant des frais de fermeture et là ce sont les frais de mise en service...
A fuir absolument, je regrette d'être allé chez eux et dégoûtée quand nous prennent pour des pigeons
Date de l'expérience: 07 novembre 2022",1,7 nov. 2022
28,"Augmentation des tarifs et surprises lors de la clôtures
Pour un T3, Eni (TotalEnergie) me faisait payer 15 € / mois et lors de la clôture, j'ai reçu une facture de 1100 €.

Pour une maison de 96 m2, Eni me faisait payé 50 € / mois puis c'est passé à 150 € puis 300 € avec une regul de 400 €.

Il y a des taxes ajoutés. Chez EDF, l'abonnement mensuel est peut être plus chère de 2 ou 3 € mais vous y gagnez à la fin du mois.

Exemple concret au mois de Mars avec chauffage à fond :
- Eni = 310 €
- EDF = 240 €

Soit 70 € d'économie, c'est les taxes que rajoute Eni qui plombs les factures.

Exactement le même jours l'un de mes ami s'est vu payer 200 € / mois pour un T3 chez Eni et à donc changé de fournisseur.

Malgré un service téléphonique présent et facilement accessible, l'enseigne est beaucoup trop chère et se vante des meilleurs tarifs.
Date de l'expérience: 19 décembre 2022",1,19 déc. 2022
29,"Augmentation du prix du kwh de plus du…
Augmentation du prix du kwh de plus du double donc en gros nous passons de 400€ tous les 2 mois à 800€ ! Mais sinon tout est normal ! Non je suis désolé mais je ne suis pas d'accord ! Je ne m'arrêterai pas à payer la facture sans rien dire! JOYEUX NOËL À VOUS ENI !
Date de l'expérience: 23 novembre 2022",1,23 nov. 2022
30,"À fuir absolument ENI service client…
À fuir absolument ENI service client déplorable, facturation abusive et changement d'offre pour (plus cher)
j'ai normalement un prélèvement mensuel de 38€ et sans me prévenir la somme du prélèvement a augmenté à 134 € sachant que ma consommation est restée identique ! J'ai appelé le service client pour avoir une explication et à peine commencé à expliquer ma situation la communication a coupé comme par hasard !
Eni c'est l'escroquerie pure
Date de l'expérience: 07 novembre 2022",1,7 nov. 2022
31,"Constatant avec une facture de régularisation annuelle
Constatant avec une facture de régularisation annuelle que mes tarifs du KWh ont été augmentés pour les consommations à compter du 2 août 2022 de +344% pour les heures pleines et de +444% pour les heures creuses pour une puissance de KVA18, étant tout électrique. Soit Heures Pleines 0,3418 €HT et Heures Creuses 0,3109 €HT pour un tarif chez EDF de : 0,1534 €HT en heures pleines et 0,1225 €HT en heures creuses. Une arnaque ??? Malgré depuis début décembre les différents messages transmis sur le compte client par le site, malgré des mails, malgré une Lettre Recommandée Avec Avis de Réception, aucune réponse, aucun contact téléphonique. Changer de toute urgence de fournisseur et prendre conseil pour récupérer le payé de trop ??? Aucun courrier de reçu informant du changement de tarif du KWh.
Date de l'expérience: 22 novembre 2022",1,19 déc. 2022
32,"Société a fuir
Société a fuir. Mauvaise gestion des donnes client. Vous envoi des factures en disant que vous avez tout réglé puis des sociétés de recouvrement vous contact avec des montants non justifiés. Et les sociétés de recouvrement sous traite à l’étranger donc dialogue très difficile en français. Même si vous n’êtes pas en tort vous devez payer sauf si vous avez le temps et l’argent d’aller en justice. Pratique déplorable en 2022 ! A FUIR
Date de l'expérience: 31 octobre 2022",1,31 oct. 2022
33,"A éviter sans hésiter
A éviter de toute urgence
Effectivement depuis la crise avec l Ukraine les mensualités ont triplées en électricité et gaz
Des profiteurs de crise sans aucun scrupule
Ils pourront attraper quelques clients avec des prix attractifs mais attention au retour de bâton, il pourrait s avéré très douloureux
Sans compter que le chèque énergie est bien encaissé à l envoi mais si vous ne faites pas attention, il se peut qu’il ne soit jamais pris en compte sur vos factures pas vu pas pris
Pour l avoir vécu
Date de l'expérience: 07 novembre 2022",1,7 nov. 2022
34,"Facture de ministre
Quelle belle surprise en recevant mon nouvel échéancier de chez ENI. De 48 euros, prix attractif pour appâter, je passe à 179 euros à partir de décembre 2022 et je n'ai pas le gaz. Je comprends pourquoi dans 60 millions de consommateurs on les appelle les vautours à domicile. Le kW aurait augmenter me dit-on !!!! C'est une blague. Ma facture a triplé. A croire que j'ai un château. Mon petit appartement est bien loin de peser 179 euro par mois. De vrais escrocs et antipathique. La conseillère me dit qu'elle paie autant. La bonne blague. La première fois, ils avaient pris le compteur de mon voisin. Même pas fichu de faire un travail correctement. Je pars en courant de cette société qui volent les gens.
Date de l'expérience: 06 décembre 2022",1,6 déc. 2022
35,"Pagaille dans la facturation
Correction de factures 4 ans après alors qu'il n'y a jamais eu d'impayés avec un prélèvement sans prévenir de plus de 2000€, devoir réclamer avec lettre recommandée pour comprendre les 4 factures incompréhensibles le même jour. Le service client est nul et les tarifs ne sont plus attractifs.
Date de l'expérience: 09 novembre 2022",1,9 nov. 2022
36,"Entreprise à fuir.
Entreprise à fuir.
Méthode de mafieux.
Incompétence.
Ce que le capitalisme fait de plus odieux.
Ils ne sont malheureusement pas les seuls!
Date de l'expérience: 01 septembre 2022",1,31 déc. 2022
37,"Démarchage très agressif
Honteux leur démarchage, à fuir absolument, abusif leur façon de faire.
Le commercial m'a prise pour une idiote et le mot est faible,me parlait très mal,je me suis fait insulter et limite à en venir aux mains avec mon homme.on lui a demandé de partir et lui continuer de nous insulter.
Bravo ENI

Faites attention car ils font tout pour vous embobiner et signer leurs contrats.
Date de l'expérience: 12 octobre 2022",1,Actualisé le 13 oct. 2022
38,"Des gros voleurs en 10jours avec les…
Des gros voleurs en 10jours avec les nouveaux tarif ,le temp de changer de fournisseur 60euros à payer alors que pour 4 mois je payer que 110euros
Nouveau contrat sans te prévenir 5 fois le prix
Date de l'expérience: 09 novembre 2022",1,6 déc. 2022
39,"Change les contrats sans prévenir!!!
Le prix était 0,09€ le KWh. La dernière facture a bondi à 0,62€ le KWh.
Notre compte internet n'avait jamais été activé (tout était reçu par La Poste)
Nous avons donc essayer d'activer le compte internet pour voir d'où venait le problème mais impossible d'activer le compte internet. Nous avons téléphoné.
D'après eux le contrat était arrivé à échéance donc ils ont envoyé un email pour modifier le contrat. Nous leur avons demandé à quel email le contrat a été envoyé car bizarre, ils ne possédaient pas mon email, d'où mon l'impossibilité d'activé le compte internet.
Maintenant le compte activé, aucun prix n'est disponible dans ""mon compte"" et lorsque l'on clique sur mon contrat, il est noté ""données indisponible"".
D'après eux,s'ils vous envoient un email demandant de changer de forfait et que vous ne recevez pas ou ne répondez pas à cet email, le contrat est validé automatiquement.
Sachant qu'ils n'avaient pas mon email et que tout était reçu par La Poste, facile pour eux de soit disant avoir envoyé par email,de mettre le contrat le plus chère et de valider automatiquement sans même prévenir par courrier!
Date de l'expérience: 05 janvier 2023",1,5 janv. 2023
40,"Tout simplement du VOL
je me suis fais avoir comme un C..., je n'ai pas vérifié les tarifs des autres fournisseurs car j'ai fais confiance sur parole à l'agent qui m'a embobiné avec ses arguments et qui m'a assuré que leurs prix étaient les meilleurs sur le marché.. depuis un an je paie deux fois et demi de ce que je devais payé chez EDF, et malheureusement je ne me suis pas rendu compte de leurs prix excessivement hauts que ce mois de décembre où j'ai eu l'idée de voir les détails de ma facture, je m’aperçois qu'il ont augmenté le prix du KWH qui à la base été plus cher que chez EDF, prix qui est passé chez ENI de 0.28854€ à 0.43540€, au lieu de 0.1740€ CHEZ EDF, vous vous rendez compte de la différence???? c'est carrément du vol!!!!!! sans parlé du prix de leurs abonnement qui est bien évidement plus cher que les autres fournisseurs. ce qui vaut côté électricité l'est aussi côté gaz, grande différence sur le tarif et de l'abonnement et du KWH; j'ai immédiatement résilié mon contrat chez eux et je déconseille fortement cette société mafieuse qui ne mérite même pas 1 étoile mais 0 étoile. à bon entendeurs..
Date de l'expérience: 28 décembre 2022",1,4 janv. 2023
41,"A fuir!!!!
A fuir!!!!! aucune écoute , désagréable au téléphone, coupe la parole au moment d'expliquer le problème. Les prix pas raisonnable du tout .

Je ne recommande pas du tout !
Décevant.
Date de l'expérience: 07 décembre 2022",1,7 déc. 2022
42,"On vous aura prévenu
Des voleurs ,service entretien chaudière prélevée chaque moi mais quand vous voulez un entretien,y a plus personne c'est le parcours du combattant,avec un service client au Maghreb qui ne vaut rien , choisissez un fournisseur avec un service client en France avec des gens qui vous comprenent quand vous parlez.
Date de l'expérience: 11 octobre 2022",1,11 oct. 2022
43,"Frais injustifiés
Frais injustifiés pour une mise en service du service gaz qui n'a jamais été faite puisqu'une résiliation a été faite 5 jours après et avant cette mise en service... puis des frais supplémentaires pour cette résiliation sur une mise en service qui n'avait jamais été faite ! Une belle arnaque et un service clients calamiteux ! Je suis toujours en conflit avec eux sur ce sujet depuis 7 mois.
Date de l'expérience: 24 septembre 2022",1,24 sept. 2022
